rank,phase,split,signal_kind,sigma_strategy,gmm_components,single_sigma_index,smoothing_sigma,micro_auc,macro_auc,clip_auc
143,val_sweep,val,score_norm,mean,,,15,0.5,0.9985201449358163,0.5
144,val_sweep,val,score_norm,mean,,,20,0.5,0.9985201449358163,0.5
145,val_sweep,val,score_norm,max,,,0,0.5,0.9985201449358163,0.5
146,val_sweep,val,score_norm,max,,,1,0.5,0.9985201449358163,0.5
147,val_sweep,val,score_norm,max,,,3,0.5,0.9985201449358163,0.5
148,val_sweep,val,score_norm,max,,,5,0.5,0.9985201449358163,0.5
149,val_sweep,val,score_norm,max,,,7,0.5,0.9985201449358163,0.5
150,val_sweep,val,score_norm,max,,,10,0.5,0.9985201449358163,0.5
151,val_sweep,val,score_norm,max,,,15,0.5,0.9985201449358163,0.5
152,val_sweep,val,score_norm,max,,,20,0.5,0.9985201449358163,0.5
153,val_sweep,val,score_norm,gmm,1,,0,0.5,0.9985201449358163,0.5
154,val_sweep,val,score_norm,gmm,1,,1,0.5,0.9985201449358163,0.5
155,val_sweep,val,score_norm,gmm,1,,3,0.5,0.9985201449358163,0.5
156,val_sweep,val,score_norm,gmm,1,,5,0.5,0.9985201449358163,0.5
157,val_sweep,val,score_norm,gmm,1,,10,0.5,0.9985201449358163,0.5
158,val_sweep,val,score_norm,gmm,1,,15,0.5,0.9985201449358163,0.5
159,val_sweep,val,score_norm,gmm,1,,20,0.5,0.9985201449358163,0.5
160,val_sweep,val,score_norm,gmm,3,,0,0.5,0.9985201449358163,0.5
161,val_sweep,val,score_norm,gmm,3,,1,0.5,0.9985201449358163,0.5
162,val_sweep,val,score_norm,gmm,3,,3,0.5,0.9985201449358163,0.5
163,val_sweep,val,score_norm,gmm,3,,5,0.5,0.9985201449358163,0.5
164,val_sweep,val,score_norm,gmm,3,,7,0.5,0.9985201449358163,0.5
165,val_sweep,val,score_norm,gmm,3,,10,0.5,0.9985201449358163,0.5
166,val_sweep,val,score_norm,gmm,3,,15,0.5,0.9985201449358163,0.5
167,val_sweep,val,score_norm,gmm,3,,20,0.5,0.9985201449358163,0.5
168,val_sweep,val,score_norm,gmm,5,,0,0.5,0.9985201449358163,0.5
169,val_sweep,val,score_norm,gmm,5,,1,0.5,0.9985201449358163,0.5
170,val_sweep,val,score_norm,gmm,5,,3,0.5,0.9985201449358163,0.5
171,val_sweep,val,score_norm,gmm,5,,5,0.5,0.9985201449358163,0.5
172,val_sweep,val,score_norm,gmm,5,,7,0.5,0.9985201449358163,0.5
173,val_sweep,val,score_norm,gmm,5,,10,0.5,0.9985201449358163,0.5
174,val_sweep,val,score_norm,gmm,5,,15,0.5,0.9985201449358163,0.5
175,val_sweep,val,score_norm,gmm,5,,20,0.5,0.9985201449358163,0.5
176,val_sweep,val,log_density,single_sigma,,0,0,0.5,0.9985201449358163,0.5
177,val_sweep,val,log_density,single_sigma,,0,1,0.5,0.9985201449358163,0.5
178,val_sweep,val,log_density,single_sigma,,0,3,0.5,0.9985201449358163,0.5
179,val_sweep,val,log_density,single_sigma,,0,5,0.5,0.9985201449358163,0.5
180,val_sweep,val,log_density,single_sigma,,0,7,0.5,0.9985201449358163,0.5
181,val_sweep,val,log_density,single_sigma,,0,10,0.5,0.9985201449358163,0.5
182,val_sweep,val,log_density,single_sigma,,0,15,0.5,0.9985201449358163,0.5
183,val_sweep,val,log_density,single_sigma,,0,20,0.5,0.9985201449358163,0.5
184,val_sweep,val,log_density,single_sigma,,1,0,0.5,0.9985201449358163,0.5
185,val_sweep,val,log_density,single_sigma,,1,1,0.5,0.9985201449358163,0.5
186,val_sweep,val,log_density,single_sigma,,1,3,0.5,0.9985201449358163,0.5
187,val_sweep,val,log_density,single_sigma,,1,5,0.5,0.9985201449358163,0.5
188,val_sweep,val,log_density,single_sigma,,1,7,0.5,0.9985201449358163,0.5
189,val_sweep,val,log_density,single_sigma,,1,10,0.5,0.9985201449358163,0.5
190,val_sweep,val,log_density,single_sigma,,1,15,0.5,0.9985201449358163,0.5
191,val_sweep,val,log_density,single_sigma,,1,20,0.5,0.9985201449358163,0.5
192,val_sweep,val,log_density,single_sigma,,2,0,0.5,0.9985201449358163,0.5
193,val_sweep,val,log_density,single_sigma,,2,1,0.5,0.9985201449358163,0.5
194,val_sweep,val,log_density,single_sigma,,2,3,0.5,0.9985201449358163,0.5
195,val_sweep,val,log_density,single_sigma,,2,5,0.5,0.9985201449358163,0.5
196,val_sweep,val,log_density,single_sigma,,2,7,0.5,0.9985201449358163,0.5
197,val_sweep,val,log_density,single_sigma,,2,10,0.5,0.9985201449358163,0.5
198,val_sweep,val,log_density,single_sigma,,2,15,0.5,0.9985201449358163,0.5
199,val_sweep,val,log_density,single_sigma,,2,20,0.5,0.9985201449358163,0.5
200,val_sweep,val,log_density,single_sigma,,3,0,0.5,0.9985201449358163,0.5
201,val_sweep,val,log_density,single_sigma,,3,1,0.5,0.9985201449358163,0.5
202,val_sweep,val,log_density,single_sigma,,3,3,0.5,0.9985201449358163,0.5
203,val_sweep,val,log_density,single_sigma,,3,5,0.5,0.9985201449358163,0.5
204,val_sweep,val,log_density,single_sigma,,3,7,0.5,0.9985201449358163,0.5
205,val_sweep,val,log_density,single_sigma,,3,10,0.5,0.9985201449358163,0.5
206,val_sweep,val,log_density,single_sigma,,3,15,0.5,0.9985201449358163,0.5
207,val_sweep,val,log_density,single_sigma,,3,20,0.5,0.9985201449358163,0.5
208,val_sweep,val,log_density,single_sigma,,4,0,0.5,0.9985201449358163,0.5
209,val_sweep,val,log_density,single_sigma,,4,1,0.5,0.9985201449358163,0.5
210,val_sweep,val,log_density,single_sigma,,4,3,0.5,0.9985201449358163,0.5
211,val_sweep,val,log_density,single_sigma,,4,5,0.5,0.9985201449358163,0.5
212,val_sweep,val,log_density,single_sigma,,4,7,0.5,0.9985201449358163,0.5
213,val_sweep,val,log_density,single_sigma,,4,10,0.5,0.9985201449358163,0.5
214,val_sweep,val,log_density,single_sigma,,4,15,0.5,0.9985201449358163,0.5
215,val_sweep,val,log_density,single_sigma,,4,20,0.5,0.9985201449358163,0.5
216,val_sweep,val,log_density,single_sigma,,5,0,0.5,0.9985201449358163,0.5
217,val_sweep,val,log_density,single_sigma,,5,1,0.5,0.9985201449358163,0.5
218,val_sweep,val,log_density,single_sigma,,5,3,0.5,0.9985201449358163,0.5
219,val_sweep,val,log_density,single_sigma,,5,5,0.5,0.9985201449358163,0.5
220,val_sweep,val,log_density,single_sigma,,5,7,0.5,0.9985201449358163,0.5
221,val_sweep,val,log_density,single_sigma,,5,10,0.5,0.9985201449358163,0.5
222,val_sweep,val,log_density,single_sigma,,5,15,0.5,0.9985201449358163,0.5
223,val_sweep,val,log_density,single_sigma,,5,20,0.5,0.9985201449358163,0.5
224,val_sweep,val,log_density,single_sigma,,6,0,0.5,0.9985201449358163,0.5
225,val_sweep,val,log_density,single_sigma,,6,1,0.5,0.9985201449358163,0.5
226,val_sweep,val,log_density,single_sigma,,6,3,0.5,0.9985201449358163,0.5
227,val_sweep,val,log_density,single_sigma,,6,5,0.5,0.9985201449358163,0.5
228,val_sweep,val,log_density,single_sigma,,6,7,0.5,0.9985201449358163,0.5
229,val_sweep,val,log_density,single_sigma,,6,10,0.5,0.9985201449358163,0.5
230,val_sweep,val,log_density,single_sigma,,6,15,0.5,0.9985201449358163,0.5
231,val_sweep,val,log_density,single_sigma,,6,20,0.5,0.9985201449358163,0.5
232,val_sweep,val,log_density,single_sigma,,7,0,0.5,0.9985201449358163,0.5
233,val_sweep,val,log_density,single_sigma,,7,1,0.5,0.9985201449358163,0.5
234,val_sweep,val,log_density,single_sigma,,7,3,0.5,0.9985201449358163,0.5
235,val_sweep,val,log_density,single_sigma,,7,5,0.5,0.9985201449358163,0.5
236,val_sweep,val,log_density,single_sigma,,7,7,0.5,0.9985201449358163,0.5
237,val_sweep,val,log_density,single_sigma,,7,10,0.5,0.9985201449358163,0.5
238,val_sweep,val,log_density,single_sigma,,7,15,0.5,0.9985201449358163,0.5
239,val_sweep,val,log_density,single_sigma,,7,20,0.5,0.9985201449358163,0.5
240,val_sweep,val,log_density,single_sigma,,8,0,0.5,0.9985201449358163,0.5
241,val_sweep,val,log_density,single_sigma,,8,1,0.5,0.9985201449358163,0.5
242,val_sweep,val,log_density,single_sigma,,8,3,0.5,0.9985201449358163,0.5
243,val_sweep,val,log_density,single_sigma,,8,5,0.5,0.9985201449358163,0.5
244,val_sweep,val,log_density,single_sigma,,8,7,0.5,0.9985201449358163,0.5
245,val_sweep,val,log_density,single_sigma,,8,10,0.5,0.9985201449358163,0.5
246,val_sweep,val,log_density,single_sigma,,8,15,0.5,0.9985201449358163,0.5
247,val_sweep,val,log_density,single_sigma,,8,20,0.5,0.9985201449358163,0.5
248,val_sweep,val,log_density,single_sigma,,9,0,0.5,0.9985201449358163,0.5
249,val_sweep,val,log_density,single_sigma,,9,1,0.5,0.9985201449358163,0.5
250,val_sweep,val,log_density,single_sigma,,9,3,0.5,0.9985201449358163,0.5
251,val_sweep,val,log_density,single_sigma,,9,5,0.5,0.9985201449358163,0.5
252,val_sweep,val,log_density,single_sigma,,9,7,0.5,0.9985201449358163,0.5
253,val_sweep,val,log_density,single_sigma,,9,10,0.5,0.9985201449358163,0.5
254,val_sweep,val,log_density,single_sigma,,9,15,0.5,0.9985201449358163,0.5
255,val_sweep,val,log_density,single_sigma,,9,20,0.5,0.9985201449358163,0.5
